season,gw,code,pos,minutes,xG,xA,dc,saves,goals,assists,total_points,clean_sheet,bonus,yellow
2026-27,1,167512,DEF,66,0.01,0.01,5,0,0,0,1,0,0,1
2026-27,1,167825,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,168144,MID,90,0.0,0.01,7,0,0,0,2,0,0,0
2026-27,1,168636,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,169359,DEF,5,0.0,0.0,0,0,0,0,1,0,0,0
2026-27,1,169432,FWD,90,0.16,0.01,5,0,0,1,5,1,0,0
2026-27,1,169528,DEF,81,0.13,0.04,7,0,0,0,1,0,0,0
2026-27,1,169593,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,171270,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,171287,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,171314,DEF,90,0.0,0.14,6,0,0,0,2,0,0,0
2026-27,1,172453,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,172649,GK,90,0.0,0.0,0,3,0,0,2,0,0,0
2026-27,1,172780,MID,22,0.0,0.01,2,0,0,0,1,0,0,0
2026-27,1,173774,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,173878,DEF,90,0.0,0.02,6,0,0,0,1,0,0,0
2026-27,1,173879,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,174594,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,174874,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,176297,MID,45,0.0,0.1,1,0,0,0,1,0,0,0
2026-27,1,176412,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,176420,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,177815,FWD,90,0.13,0.0,2,0,0,0,1,1,0,1
2026-27,1,178301,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,180135,MID,8,0.0,0.0,0,0,0,0,1,0,0,0
2026-27,1,180736,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,180974,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,183015,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,183656,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,184029,MID,75,0.21,0.1,8,0,1,0,11,1,3,0
2026-27,1,184254,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,184341,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,184349,DEF,17,0.03,0.0,1,0,0,0,1,0,0,0
2026-27,1,184667,DEF,90,0.0,0.0,3,0,0,0,-2,0,0,0
2026-27,1,191866,DEF,90,0.11,0.02,10,0,0,0,8,1,0,0
2026-27,1,193278,DEF,69,0.0,0.01,2,0,0,0,6,1,0,0
2026-27,1,194010,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,195384,MID,14,0.14,0.02,2,0,0,0,1,0,0,0
2026-27,1,195546,MID,85,0.13,0.09,7,0,0,0,2,0,0,0
2026-27,1,196100,MID,8,0.0,0.0,1,0,0,0,1,0,0,0
2026-27,1,198869,DEF,90,0.18,0.21,5,0,0,1,11,1,2,0
2026-27,1,199598,MID,90,0.0,0.04,13,0,0,0,5,1,0,0
2026-27,1,199796,DEF,90,0.0,0.0,7,0,0,0,-1,0,0,1
2026-27,1,199798,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,200089,MID,34,0.09,0.17,3,0,1,0,6,0,0,0
2026-27,1,200617,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,200641,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,200720,GK,90,0.0,0.01,0,4,0,0,7,1,0,0
2026-27,1,200785,MID,15,0.0,0.0,3,0,0,0,1,0,0,0
2026-27,1,200834,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,201595,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,201658,MID,90,0.4,0.08,8,0,1,0,10,0,3,0
2026-27,1,201666,MID,90,0.07,0.02,8,0,0,0,2,0,0,0
2026-27,1,201895,DEF,23,0.0,0.01,0,0,0,0,1,0,0,0
2026-27,1,202993,MID,45,0.0,0.01,5,0,0,0,1,0,0,0
2026-27,1,204120,DEF,90,0.0,0.04,6,0,0,0,6,1,0,0
2026-27,1,204480,MID,67,0.07,0.08,6,0,0,0,3,1,0,0
2026-27,1,204561,MID,16,0.0,0.0,1,0,0,0,1,0,0,0
2026-27,1,204580,MID,90,0.39,0.17,13,0,1,0,9,1,0,1
2026-27,1,204813,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,204822,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,204936,GK,90,0.0,0.0,0,3,0,0,3,0,0,0
2026-27,1,204968,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,205533,FWD,55,0.6,0.58,3,0,0,0,1,0,0,0
2026-27,1,205651,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
